nume_actiune, timestamp
"asignat tren la o ruta valida",2025-06-05 12:48:44
"locomotiva adaugata la orar",2025-06-05 12:48:44
"locomotiva adaugata la orar",2025-06-05 12:48:44
"locomotiva adaugata la orar",2025-06-05 12:48:44
"ruta cautata in baza de date",2025-06-05 12:48:44
"calculat pretul unui bilet",2025-06-05 12:48:44
"calculat pret bilet",2025-06-05 12:48:44
"calculat nivel de experienta mecanic",2025-06-05 12:49:06
"calculat nivel de experienta mecanic",2025-06-05 12:49:06
"calculat nivel de experienta mecanic",2025-06-05 12:49:06
"calculat nivel de experienta mecanic",2025-06-05 12:49:06
"locomotiva adaugata la orar",2025-06-05 12:49:06
"locomotiva adaugata la orar",2025-06-05 12:49:06
"locomotiva adaugata la orar",2025-06-05 12:49:06
"locomotiva adaugata la orar",2025-06-05 12:49:06
"locomotiva adaugata la orar",2025-06-05 12:49:06
"locomotiva adaugata la orar",2025-06-05 12:49:06
"locomotiva adaugata la orar",2025-06-05 12:49:06
"locomotiva adaugata la orar",2025-06-05 12:49:06
"format tren",2025-06-05 12:49:06
"format tren",2025-06-05 12:49:06
"asignat tren la o ruta valida",2025-06-05 12:49:06
"locomotiva adaugata la orar",2025-06-05 12:49:06
"locomotiva adaugata la orar",2025-06-05 12:49:06
"locomotiva adaugata la orar",2025-06-05 12:49:06
"ruta cautata in baza de date",2025-06-05 12:49:06
"calculat pretul unui bilet",2025-06-05 12:49:06
"calculat pret bilet",2025-06-05 12:49:06
"format tren",2025-06-05 12:49:25
"calculat nivel de experienta mecanic",2025-06-05 12:53:15
"calculat nivel de experienta mecanic",2025-06-05 12:53:15
"calculat nivel de experienta mecanic",2025-06-05 12:53:15
"calculat nivel de experienta mecanic",2025-06-05 12:53:15
"locomotiva adaugata la orar",2025-06-05 12:53:15
"locomotiva adaugata la orar",2025-06-05 12:53:15
"locomotiva adaugata la orar",2025-06-05 12:53:15
"locomotiva adaugata la orar",2025-06-05 12:53:15
"locomotiva adaugata la orar",2025-06-05 12:53:15
"locomotiva adaugata la orar",2025-06-05 12:53:15
"locomotiva adaugata la orar",2025-06-05 12:53:15
"locomotiva adaugata la orar",2025-06-05 12:53:15
"format tren",2025-06-05 12:53:15
"format tren",2025-06-05 12:53:15
"asignat tren la o ruta valida",2025-06-05 12:53:15
"locomotiva adaugata la orar",2025-06-05 12:53:15
"locomotiva adaugata la orar",2025-06-05 12:53:15
"locomotiva adaugata la orar",2025-06-05 12:53:15
"ruta cautata in baza de date",2025-06-05 12:53:15
"calculat pretul unui bilet",2025-06-05 12:53:15
"calculat pret bilet",2025-06-05 12:53:15
"calculat nivel de experienta mecanic",2025-06-05 13:10:51
"calculat nivel de experienta mecanic",2025-06-05 13:10:51
"calculat nivel de experienta mecanic",2025-06-05 13:10:51
"calculat nivel de experienta mecanic",2025-06-05 13:10:51
"locomotiva adaugata la orar",2025-06-05 13:10:51
"locomotiva adaugata la orar",2025-06-05 13:10:51
"locomotiva adaugata la orar",2025-06-05 13:10:51
"locomotiva adaugata la orar",2025-06-05 13:10:51
"locomotiva adaugata la orar",2025-06-05 13:10:51
"locomotiva adaugata la orar",2025-06-05 13:10:51
"locomotiva adaugata la orar",2025-06-05 13:10:51
"locomotiva adaugata la orar",2025-06-05 13:10:51
"format tren",2025-06-05 13:10:51
"format tren",2025-06-05 13:10:51
"asignat tren la o ruta valida",2025-06-05 13:10:51
"locomotiva adaugata la orar",2025-06-05 13:10:51
"locomotiva adaugata la orar",2025-06-05 13:10:51
"locomotiva adaugata la orar",2025-06-05 13:10:51
"ruta cautata in baza de date",2025-06-05 13:10:51
"calculat pretul unui bilet",2025-06-05 13:10:51
"calculat pret bilet",2025-06-05 13:10:51
"format tren",2025-06-05 13:11:10
"calculat nivel de experienta mecanic",2025-06-05 13:12:24
"calculat nivel de experienta mecanic",2025-06-05 13:12:24
"calculat nivel de experienta mecanic",2025-06-05 13:12:24
"calculat nivel de experienta mecanic",2025-06-05 13:12:24
"locomotiva adaugata la orar",2025-06-05 13:12:24
"locomotiva adaugata la orar",2025-06-05 13:12:24
"locomotiva adaugata la orar",2025-06-05 13:12:24
"locomotiva adaugata la orar",2025-06-05 13:12:24
